# CHAIN.tsv -- GENERATED by `lab chain` from units/. Do not edit.
# 9 segment(s), 10 unit(s) in chain, 5 with no follows: field, 1 gap(s), 1 fork(s).
# label	units	inherits	handoff
A	0000	-	8982b0e36eb1bacbb400dea0997b13cce756d7a48dbe0b05c560a13c1973afd0
B	0001	-	24d9b35c727e6c78676c2ad378a8c3c47cfb539f3583d3cd9e1eafee51d5679d
C	0002	-	974061520b64fe5f6f53687941e28fcff3bd08bffdef92e7d2a1e80cca3080d2
D	0003	-	eb590993ead017129ddc183560412bd0d6c9e44972b86921c37620998b32b841
E	0004	-	5bba99f2aa5662c37267db43cb9f0a586d24ca4a9027dc908cd68948f115d0bb
F	0308,0309	-	b9f3903200bbeac791bb4fd523c98f53c69e289d58972d89987ec93042aad420
F.A	0310	-	ea7b3ab9d20d8445178d9c39cf5de42632c32b6b039ed64fab8e43ab7ef43367
F.B	0311	-	3b8897ca7c1067136a2e163d528e47adcac18f4370a1c4189763ebef70677838
F.C	0312	-	861bf44dd52ce7fc8843eda69b1ec1240eb61539f7f71843b92f2624d3fcb046
