curve,true_rank,cutoff,product,n_good_primes
11a1,0,100,6.487750940432403,24
11a1,0,300,6.095731263315457,61
11a1,0,1000,5.734452989394969,167
11a1,0,3000,6.749385110874043,429
11a1,0,10000,6.235843204034444,1228
11a1,0,30000,6.487342050200171,3244
37a1,1,100,30.572566221098366,24
37a1,1,300,46.48011249275728,61
37a1,1,1000,45.6846908181782,167
37a1,1,3000,60.28693030764471,429
37a1,1,10000,74.74598396727934,1228
37a1,1,30000,89.79168160787849,3244
389a1,2,100,151.4326060436903,25
389a1,2,300,186.20551174780832,62
389a1,2,1000,328.63100493183845,167
389a1,2,3000,375.50943209374026,429
389a1,2,10000,637.885643333081,1228
389a1,2,30000,665.9047194464638,3244
