triangle,d,n_roots,mean_abs,min_abs,max_abs,rel_spread,n_coeffs,has_zero_root
prime,0,44,0.540556455476663,0.5293406115850279,0.5487966669127374,0.007915045300832617,45,False
prime,1,43,0.5216285687293809,0.0,0.5507332217543824,0.1553468846507432,44,True
prime,2,42,0.5433256636475918,0.5234663989433936,0.5664249143003067,0.026019339041327423,43,False
prime,3,41,0.5543092746478605,0.45472386888126254,0.5797206932747017,0.04083332171755755,42,False
prime,4,40,0.5712660517658661,0.5341242893462183,0.5941776509570437,0.03012328134463946,41,False
prime,5,39,0.5861258003000833,0.5348421964831598,0.6084218879714166,0.03025639518252742,40,False
prime,6,38,0.6013077733255584,0.5628123043178762,0.6242169005639125,0.0282060395181423,39,False
prime,7,37,0.6160713760044434,0.5731111765121655,0.6415341573464647,0.027888896472228277,38,False
prime,8,36,0.6311935697024498,0.5936006278776962,0.6609888591914344,0.028123550068329353,37,False
prime,9,35,0.6472556362214162,0.6063837932738579,0.6833839739163525,0.029700894374049144,36,False
prime,10,34,0.6652200600080965,0.6263090975828784,0.7095802976699028,0.0321546107997818,35,False
prime,11,33,0.685662339646317,0.6432930026295859,0.7399265404164566,0.03543841804796528,34,False
prime,12,32,0.7086324556885111,0.6668686908452572,0.7719259973507367,0.043629230786637746,33,False
prime,13,31,0.7328750534335248,0.6333455901708108,0.8067107968926526,0.05918854801424527,32,False
prime,14,30,0.7536591817654197,0.5058500520744944,0.8565784687383508,0.08220694559491379,31,False
prime,15,29,0.7621687444763439,0.3528772678192976,0.9404645043873782,0.11974752801870987,30,False
prime,16,28,0.7539776843777906,0.1141403084624397,1.01646765001479,0.18282118621296584,29,False
prime,17,27,0.7577210464385774,0.5018455905706005,1.1051903208863072,0.1307272847601284,28,False
prime,18,26,0.7901637527753235,0.7343697548320428,1.236903228731283,0.13357470027842852,27,False
prime,19,25,0.820997959390195,0.7112003999982084,1.4727491425637789,0.17952307465952844,26,False
prime,20,24,0.8677293339679758,0.68131272988547,2.07233556992542,0.30264054354302183,25,False
prime,21,23,1.1948626430758178,0.6467950292237166,9.008218674446866,1.3964112975211642,24,False
prime,22,22,0.8883372824777375,0.6036825901893257,1.3692395693652417,0.16813647761765182,23,False
prime,23,21,0.8539878346450678,0.5466776307225255,1.0857388702382311,0.12162964887282426,22,False
