table,weight,side,r,d,value
log comp,log,comp,14,5,2652.5579539341
log comp,log,comp,15,5,7176.4830932857
log comp,log,comp,16,5,12480.3995759149
log comp,log,comp,17,5,29569.6527674287
log comp,log,comp,18,5,59851.1855498006
log comp,log,comp,19,5,123918.4667690507
log comp,log,comp,20,5,266530.9489577737
log comp,log,comp,21,5,541062.7982635322
log comp,log,comp,22,5,1148978.3024671772
log comp,log,comp,23,5,2366166.0977363540
log comp,log,comp,24,5,4928751.3939180551
beat comp,beat,comp,1,0,0.0000000000
beat comp,beat,comp,2,0,0.5000000000
beat comp,beat,comp,3,0,0.7618016811
beat comp,beat,comp,4,0,1.7136963656
beat comp,beat,comp,5,0,2.2317511525
beat comp,beat,comp,6,0,3.6460292725
beat comp,beat,comp,7,0,5.2481669046
beat comp,beat,comp,8,0,7.6656436595
beat comp,beat,comp,9,0,11.0143288617
beat comp,beat,comp,10,0,15.9947563993
beat comp,beat,comp,11,0,22.9457942909
beat comp,beat,comp,12,0,32.8106612975
beat comp,beat,comp,13,0,46.9985431683
beat comp,beat,comp,14,0,66.9816015946
beat comp,beat,comp,15,0,95.5854946811
beat comp,beat,comp,16,0,136.0601929215
beat comp,beat,comp,17,0,193.5686517399
beat comp,beat,comp,18,0,275.2834697788
beat comp,beat,comp,19,0,391.1132564829
beat comp,beat,comp,20,0,555.5790230473
beat comp,beat,comp,21,0,788.6939019957
beat comp,beat,comp,22,0,1119.3054393993
beat comp,beat,comp,23,0,1587.9865546015
beat comp,beat,comp,24,0,2252.2658680613
beat comp,beat,comp,2,1,0.5000000000
beat comp,beat,comp,3,1,0.2618016811
beat comp,beat,comp,4,1,0.9518946845
beat comp,beat,comp,5,1,0.5180547869
beat comp,beat,comp,6,1,1.4142781200
beat comp,beat,comp,7,1,1.6021376322
beat comp,beat,comp,8,1,2.4174767549
beat comp,beat,comp,9,1,3.3486852022
beat comp,beat,comp,10,1,4.9804275376
beat comp,beat,comp,11,1,6.9510378917
beat comp,beat,comp,12,1,9.8648670065
beat comp,beat,comp,13,1,14.1878818709
beat comp,beat,comp,14,1,19.9830584263
beat comp,beat,comp,15,1,28.6038930865
beat comp,beat,comp,16,1,40.4746982404
beat comp,beat,comp,17,1,57.5084588184
beat comp,beat,comp,18,1,81.7148180389
beat comp,beat,comp,19,1,115.8297867041
beat comp,beat,comp,20,1,164.4657665644
beat comp,beat,comp,21,1,233.1148789485
beat comp,beat,comp,22,1,330.6115374035
beat comp,beat,comp,23,1,468.6811152022
beat comp,beat,comp,24,1,664.2793134598
beat comp,beat,comp,3,2,-0.2381983189
beat comp,beat,comp,4,2,0.6900930035
beat comp,beat,comp,5,2,-0.4338398977
beat comp,beat,comp,6,2,0.8962233331
beat comp,beat,comp,7,2,0.1878595122
beat comp,beat,comp,8,2,0.8153391227
beat comp,beat,comp,9,2,0.9312084473
beat comp,beat,comp,10,2,1.6317423353
beat comp,beat,comp,11,2,1.9706103541
beat comp,beat,comp,12,2,2.9138291149
beat comp,beat,comp,13,2,4.3230148643
beat comp,beat,comp,14,2,5.7951765554
beat comp,beat,comp,15,2,8.6208346602
beat comp,beat,comp,16,2,11.8708051539
beat comp,beat,comp,17,2,17.0337605780
beat comp,beat,comp,18,2,24.2063592205
beat comp,beat,comp,19,2,34.1149686652
beat comp,beat,comp,20,2,48.6359798602
beat comp,beat,comp,21,2,68.6491123841
beat comp,beat,comp,22,2,97.4966584550
beat comp,beat,comp,23,2,138.0695777987
beat comp,beat,comp,24,2,195.5981982576
beat comp,beat,comp,4,3,0.9282913224
beat comp,beat,comp,5,3,-1.1239329012
beat comp,beat,comp,6,3,1.3300632308
beat comp,beat,comp,7,3,-0.7083638209
beat comp,beat,comp,8,3,0.6274796105
beat comp,beat,comp,9,3,0.1158693246
beat comp,beat,comp,10,3,0.7005338880
beat comp,beat,comp,11,3,0.3388680188
beat comp,beat,comp,12,3,0.9432187608
beat comp,beat,comp,13,3,1.4091857495
beat comp,beat,comp,14,3,1.4721616911
beat comp,beat,comp,15,3,2.8256581047
beat comp,beat,comp,16,3,3.2499704938
beat comp,beat,comp,17,3,5.1629554241
beat comp,beat,comp,18,3,7.1725986424
beat comp,beat,comp,19,3,9.9086094447
beat comp,beat,comp,20,3,14.5210111950
beat comp,beat,comp,21,3,20.0131325239
beat comp,beat,comp,22,3,28.8475460709
beat comp,beat,comp,23,3,40.5729193437
beat comp,beat,comp,24,3,57.5286204589
beat comp,beat,comp,5,4,-2.0522242236
beat comp,beat,comp,6,4,2.4539961320
beat comp,beat,comp,7,4,-2.0384270517
beat comp,beat,comp,8,4,1.3358434315
beat comp,beat,comp,9,4,-0.5116102859
beat comp,beat,comp,10,4,0.5846645634
beat comp,beat,comp,11,4,-0.3616658692
beat comp,beat,comp,12,4,0.6043507420
beat comp,beat,comp,13,4,0.4659669887
beat comp,beat,comp,14,4,0.0629759416
beat comp,beat,comp,15,4,1.3534964136
beat comp,beat,comp,16,4,0.4243123891
beat comp,beat,comp,17,4,1.9129849304
beat comp,beat,comp,18,4,2.0096432183
beat comp,beat,comp,19,4,2.7360108023
beat comp,beat,comp,20,4,4.6124017503
beat comp,beat,comp,21,4,5.4921213288
beat comp,beat,comp,22,4,8.8344135471
beat comp,beat,comp,23,4,11.7253732727
beat comp,beat,comp,24,4,16.9557011152
beat comp,beat,comp,6,5,4.5062203556
beat comp,beat,comp,7,5,-4.4924231837
beat comp,beat,comp,8,5,3.3742704832
beat comp,beat,comp,9,5,-1.8474537174
beat comp,beat,comp,10,5,1.0962748493
beat comp,beat,comp,11,5,-0.9463304326
beat comp,beat,comp,12,5,0.9660166112
beat comp,beat,comp,13,5,-0.1383837533
beat comp,beat,comp,14,5,-0.4029910471
beat comp,beat,comp,15,5,1.2905204720
beat comp,beat,comp,16,5,-0.9291840246
beat comp,beat,comp,17,5,1.4886725413
beat comp,beat,comp,18,5,0.0966582880
beat comp,beat,comp,19,5,0.7263675840
beat comp,beat,comp,20,5,1.8763909480
beat comp,beat,comp,21,5,0.8797195786
beat comp,beat,comp,22,5,3.3422922182
beat comp,beat,comp,23,5,2.8909597257
beat comp,beat,comp,24,5,5.2303278425
