x,pi2
3690000000,11104497
3700000000,11131895
3710000000,11159130
3720000000,11186329
3730000000,11213615
3740000000,11240587
3750000000,11267835
3760000000,11294908
3770000000,11322129
3780000000,11349164
3790000000,11376248
3800000000,11403183
3810000000,11430403
3820000000,11457545
3830000000,11484501
3840000000,11511528
3850000000,11538716
3860000000,11565730
3870000000,11592899
3880000000,11619982
3890000000,11647104
3900000000,11674153
3910000000,11701313
3920000000,11728296
3930000000,11755477
3940000000,11782429
3950000000,11809512
3960000000,11836766
3970000000,11863740
3980000000,11890557
3990000000,11917421
4000000000,11944438
4010000000,11971218
4020000000,11998287
4030000000,12025392
4040000000,12052382
4050000000,12079488
4060000000,12106424
4070000000,12133346
4080000000,12160066
4090000000,12186987
4100000000,12214163
4110000000,12241360
4120000000,12268513
4130000000,12295689
4140000000,12322504
4150000000,12349521
4160000000,12376354
4170000000,12403216
4180000000,12430216
4190000000,12457134
4200000000,12484112
4210000000,12511201
4220000000,12538213
4230000000,12564966
4240000000,12591635
4250000000,12618660
4260000000,12645556
4270000000,12672516
4280000000,12699528
4290000000,12726305
4300000000,12752991
4310000000,12779927
4320000000,12806742
4330000000,12833730
4340000000,12860506
4350000000,12887254
4360000000,12913943
4370000000,12940634
4380000000,12967572
4390000000,12994273
4400000000,13020820
4410000000,13047690
4420000000,13074280
4430000000,13101049
4440000000,13127722
4450000000,13154277
4460000000,13181115
4470000000,13207833
4480000000,13234613
4490000000,13261339
4500000000,13288127
4510000000,13314949
4520000000,13341556
4530000000,13368364
4540000000,13395040
4550000000,13421678
4560000000,13448337
4570000000,13475064
4580000000,13501743
4590000000,13528269
4600000000,13555113
4610000000,13581680
4620000000,13608097
4630000000,13634743
4640000000,13661039
4650000000,13687636
4660000000,13714340
4670000000,13741009
4680000000,13767813
4690000000,13794690
4700000000,13821362
4710000000,13847972
4720000000,13874700
4730000000,13901173
4740000000,13927622
4750000000,13954259
4760000000,13980732
4770000000,14007350
4780000000,14033727
4790000000,14060408
4800000000,14087306
4810000000,14113687
4820000000,14140462
4830000000,14167002
4840000000,14193672
4850000000,14220254
4860000000,14246836
4870000000,14273292
4880000000,14299943
4890000000,14326599
4900000000,14353023
4910000000,14379645
4920000000,14406033
4930000000,14432657
4940000000,14459397
4950000000,14485828
4960000000,14512514
4970000000,14538869
4980000000,14565362
4990000000,14591772
5000000000,14618166
5010000000,14644834
5020000000,14671256
5030000000,14697943
5040000000,14724392
5050000000,14750869
5060000000,14777390
5070000000,14804017
5080000000,14830604
5090000000,14857111
5100000000,14883703
5110000000,14910244
5120000000,14936919
5130000000,14963134
5140000000,14989476
5150000000,15015879
5160000000,15042396
5170000000,15068773
5180000000,15094942
5190000000,15121380
5200000000,15147862
5210000000,15174400
5220000000,15200603
5230000000,15227083
5240000000,15253409
5250000000,15279801
5260000000,15306255
5270000000,15332850
5280000000,15359147
5290000000,15385492
5300000000,15411824
5310000000,15437735
5320000000,15463914
5330000000,15490388
5340000000,15516739
5350000000,15542946
5360000000,15569398
5370000000,15595563
5380000000,15621916
5390000000,15648105
5400000000,15674423
5410000000,15700640
5420000000,15727184
5430000000,15753502
5440000000,15779500
5450000000,15805737
5460000000,15832054
5470000000,15858249
5480000000,15884658
5490000000,15911011
5500000000,15937153
5510000000,15963332
5520000000,15989715
5530000000,16015809
5540000000,16042404
5550000000,16068401
5560000000,16094765
5570000000,16120683
5580000000,16146814
5590000000,16173176
